No,COUNTY,QNT2015,QNT2016,QNT2017,QNT2018,QNT2019,QNT2020,VL2015,VL2016,VL2017,VL2018,VL2019,VL2020
1,Baringo,7792,10992,57449,62795,65239,64473,0,0,1418495000,990940000,1042010000,0
2,Bomet,26107,15175,37097,62850,41468,35504,0,0,1123960000,1626850000,1658720000,0
3,Bungoma,4357,4598,29519,38495,38596,35836.38,0,0,731274000,993760000,1192830000,0
5,Elgeyo Marakwet,90400,130891,232136,386986,399276,436657,0,0,4642720000,7907760000,8571000000,0
6,Embu,2480,2710,4875,4790,2270,1995,0,0,108450000,105380000,84385000,0
8,Homabay,0,0,0,0,0,20,0,0,0,0,0,0
10,Kajiado,5162,5558,7219.6,10266,4334.63,25393.6,0,0,194077350,240352000,86108625,0
11,Kakamega,111,146,117,67,143,135,0,0,2890000,1828000,3672000,0
12,Kericho,3433,2955,7738.5,6571,5031,4600.8,0,0,206082000,176515000,223600000,0
13,Kiambu,116605,149219,184496,137255,90000,112743.35,0,0,5695216639,4015790200,2700000000,0
15,Kirinyaga,11935,8160,5785,2968,3441.92,5845,0,0,112888000,61632000,70083757,0
16,Kisii,542,390,1818,655,437.5,510,0,0,54074636,20768000,30220000,0
19,Kwale,0,0,54,356,0,21.6,0,0,500000,10680000,0,0
20,Laikipia,38549,48104,72300,65368,50283,36876,0,0,1446000000,2880140000,3616716000,0
22,Machakos,167,96,93,0,10,3.75,0,0,5580000,0,350000,0
23,Makueni,1900,630,100,154,110,110,0,0,3000000,4705000,4400000,0
26,Meru,129047,80608,133437.04,130102.3,130184.75,141926.15,0,0,3185547260,2861942400,2993806800,0
27,Migori,0,0,0,0,2500,0,0,0,0,0,41000000,0
29,Murang'a,48032,26963,22618.6,21583.26,22753.2,22483.97,0,0,647046000,587249747,859900242.6,0
30,Nairobi,547,645,879.5,127.8,160.89,69,0,0,33936000,5328600,4172006,0
31,Nakuru,212235,225479,422065,228065,330623.75,393687,0,0,8705028550,5483815000,6635659806,0
32,Nandi,4436,4297,7968,5738,6010,7780.2,0,0,157839000,156824000,183438114,0
33,Narok,61783,76222,162077.65,151143.63,138388,180268,0,0,2930760373,3440665500,2572452360,0
34,Nyamira,89,136,28433,241,255,141,0,0,516599000,6453000,15500000,0
35,Nyandarua,271045,248290,603460,409105,423490,121725,0,0,8047750000,5872127500,10380400000,0
36,Nyeri,93927,77533,64098.15,76993.1,123280,95994,0,0,1443245053,1672850200,2764610000,0
37,Samburu,5960,3500,430,310,480,325,0,0,12900000,9920000,19008000,0
39,Taita Taveta,195,110,197.5,21070,561,578,0,0,6912500,530350000,26095000,0
41,Tharaka Nthi,497,285,740,857,651.8,620,0,0,21875000,25325000,25325000,0
42,Trans Nzoia,12883,10040,28824.3,17960.4,12370.8,9750,0,0,689955000,333188000,332628725,0
44,Uasin Gishu,8914,9571,21055.15,16943,60034,106204,0,0,619025000,443619600,1824656000,0
45,Vihiga,0,0,9,0,6.5,0,0,0,180000,0,150000,0
47,West Pokot,13132,6634,8800,10560,26562.5,17500,0,0,264000000,316800000,661700000,0
