NO,COUNTY,QNT2015,QNT2016,QNT2017,QNT2018,QNT2019,QNT2020,VL2015,VL2016,VL2017,VL2018,VL2019,VL2020
1,Baringo,0,483.19,504.94,544.6,480.8,481,0,50735,60593,81691.5,67312,21645
2,Busia,0,0.74,0.72,0.8,0.7,1.1,0,78,90,101.4,91,30
3,Embu,0,6843.82,7142.97,7704.1,6802.1,6801,0,752820,892871,924489.9,884273,342770
4,Kirinyaga,0,3978.9,4158.05,4484.7,3959.6,3912,0,437678,519756,717548.8,593940,215177
5,Machakos,0,813.53,850.16,916.9,809.5,821,0,85421,106270,119202.2,109282.5,47630
6,Nyandarua,0,729.71,762.57,822.4,726.1,722,0,80268,95321,98696.4,90762.5,34661
7,Meru,0,6752.6,7047.65,7601.2,6711.2,6614,0,776549,880956,1064177.8,973124,390226
8,Murang'a,0,4988.27,5230.94,12523.2,11057,10823,0,548710,653867,1628018.6,1547980,692672
9,Kiambu,0,11110.83,11611.11,5641.9,4981.3,4711,0,1222191,1451389,789859,757157.6,306222
10,Nyeri,0,2078.2,2171.77,2342.4,2068.1,2011,0,218211,271471,316219.2,285397.8,100565
11,Taita Taveta,0,431.42,450.84,486.3,429.4,446,0,49613,56355,64672.1,69054.6,24095
12,Tharaka Nthi,0,1419.98,1483.91,1600.5,1413.1,1390,0,156197,185489,216065.3,203486.4,73654
13,Makueni,0,0,0,0,42,45,0,0,0,0,5502,2115
14,Trans Nzoia,0,0,0,0,56,59,0,0,0,0,7168,3009
15,Elgeyo Marakwet,0,0,0,0,39,41,0,0,0,0,5070,2050
16,Uasin Gishu,0,0,0,0,37,44,0,0,0,0,5106,2420
17,Others,0,189.82,198.37,214,202,211,0,20881,24796,29953.4,26866,11605
