NO,COUNTY,QNT2015,QNT2016,QNT2017,QNT2018,QNT2019,QNT2020,VL2015,VL2016,VL2017,VL2018,VL2019,production variance
1,Baringo,83313,72495,62720.7,68571.6,70810,68374,3173203000,1884870000,1833429600,1517623000,1765651985,"2,436"
2,Bomet,38720,45517,50368.6,59615.3,74728,73610,1950272966,1638612000,1480333680,1551031100,1560096776,"1,118"
3,Bungoma,260266,301068,37024.9,318201.6,315711,317912,9636309610,8128836000,985620103,6001446500,9820981250,"2,202"
4,Busia,86526,36631,68139.4,50779,67445,69450,5895829758,1208823000,2578602500,1028836000,2583892000,"2,005"
5,Elgeyo Marakwet,78020,75005,12697,114595.3,104487,87431,990619940,2475165000,366359238,2250466900,2435515380,"17,056"
6,Embu,49156,16104,10633,31983.2,28368,34650,522675748,450912000,366449005,752446750,875340300,"6,283"
7,Garissa,216,152,113.6,119,109,145,24533.3,4712000,3975300,3356000,0,36
8,Homabay,137958,71446,131962,89748.8,102742,92394,18205213596,2000488000,4573814677,2370831100,3380780840,"10,348"
9,Isiolo,1231,475,54243,287.5,749,42,66773133,14725000,1080891000,12654800,17604000,707
10,Kajiado,20004,11016,59097.6,26984,16189,15543,1182188390,341496000,2347878814,557986750,385237250,646
11,Kakamega,224225,172350,407545.4,266897.1,259003,226888,91381874042,5170500000,10946870529,5426986604,7304467601,"32,115"
12,Kericho,85698,91832,78882.5,105402.2,85815,92731,6760072485,3765112000,2497350300,1791836550,2831895000,"6,916"
13,Kiambu,58260,55837,117638.1,33351,83239,43259,6853595706,1284251000,3825692324,888906000,1743736166,"39,980"
14,Kilifi,103830,28114,77649.8,49888.9,45769,44585,8062379772,702850000,2510258783,1046738250,1202067183,"1,185"
15,Kirinyaga,58896,30168,47173.9,30214.2,45036,40281,2778352542,874872000,1692110625,622401800,1158524088,"4,755"
16,Kisii,100231,96054,33723.4,139172.2,144480,132790,3380133112,3457944000,1020012062,3371441420,4828092641,"11,690"
17,Kisumu,41699,20605,770.1,101138.5,69956,67307,32113233.9,1586585000,20324980,2503712500,2312114000,"2,650"
18,Kitui,48470,7433,105557.2,27366.7,98046,27960,5116358229,163526000,2811495799,748814750,2667790900,"70,086"
19,Kwale,77693,20170,80498.4,69102.8,35485,34061,2624712705,443740000,2557300500,2010735100,1257701500,"1,425"
20,Laikipia,42554,46655,5692,48007.3,44843,39422,1027930500,1119720000,159376000,988920400,1203405000,"5,421"
21,Lamu,46129,17973,15645.9,32025,53232,28325,1337741000,988515000,450188124,763090000,0,"24,907"
22,Machakos,121682,76144,59619.6,103973.6,92034,40927,3727355400,1979744000,1975768600,2282074250,2959540500,"51,108"
23,Makueni,131812,73384,148187.9,90228.6,109434,51268,3427112000,2568440000,3347818650,2079335000,2656250000,"58,166"
24,Mandera,278,380,1441,1530,964,1847,7506000,11400000,59045000,62202000,0,882
25,Marsabit,646,282,49765,347,402,293,17442000,10998000,1430615186,10410000,15675000,110
26,Meru,106046,89570,153333,86243.8,96249,74757,4425286150,3045380000,4000996250,1929400400,2508149434,"21,492"
27,Migori,149296,96196.8,42991,133126.3,103965,95966,4490057000,2789708185,1389653820,2937141600,2767108600,"7,999"
28,Mombasa,522,86,180955.6,308.9,259,803,12934450,2064000,4593028894,7723000,6480500,544
29,Murang'a,71149,48054,16203.9,75430.8,74087,63653,1932128200,1633836000,486736000,2031029589,2333189039,"10,434"
30,Nairobi ,1157,1049,299511,376.1,1087,972,30082000,46156000,8907258794,12896650,34522570,115
31,Nakuru,114687,207404,42885.8,291472.3,214784,206151,2809831500,9125776000,1056144444,5197211150,5923033000,"8,633"
32,Nandi,189229,204437,17492.5,229736.3,184127,168254,4867853100,15128338000,593880050,4610484700,5628871582,"15,873"
33,Narok,201348,242735,21440.1,279492.1,210005,202855,4832352000,7039315000,677438200,5672682800,5665160126,"7,150"
34,Nyamira,61547,55492,20687,82297.7,80693,67563,1292487000,1220824000,548346000,2129299900,2325565000,"13,130"
35,Nyandarua,26035,20484,115493,38605,27795,39170,787982400,614520000,3333471000,749170000,606180000,"11,375"
36,Nyeri,38404,12508,30896.5,38569.1,29738,26251,921696000,350224000,1104919000,920082720,935897620,"3,487"
37,Samburu,724,15750,26638,4110,1839,9756,20996000,519750000,820335658,113347500,65484000,"7,917"
38,Siaya,129139,60496,79477.6,84238.5,75733,72351,3679304000,1693888000,2428799007,1874673000,2269018000,"3,382"
39,Taita Taveta,12292,9519,9050,20364,16698,15025,329519500,266532000,256615000,428369500,501002700,"1,673"
40,Tana River,5408,8739,27767.8,3142.4,4471,7433,204082800,253431000,817871308.5,102554000,0,"2,961"
41,Tharaka Nthi,42938,21964,69189.8,19128.5,11943,11251,1059564440,812668000,1894950716,464211750,464211750,692
42,Trans Nzoia,413415,406434,393669.4,533815.8,426499,489056,10212313950,6096510000,10497982957,7776338550,11757289000,"62,557"
43,Turkana,2428,7091,225703.9,3330.8,6357,2582,63128000,205639000,6654033931,99925200,1217333733,"3,775"
44,Uasin Gishu,405121,405440,316040.5,489668.2,324366,379319,10533146000,12568640000,10649328913,11411620338,10066575000,"54,953"
45,Vihiga,43927,50289,438.2,42919.8,38208,31281,1317810000,1709826000,15337000,1113844000,1131284000,"6,927"
46,Wajir,38,0,131640,545,225,37,1330000,0,3526016641,16963000,0,188
47,West Pokot,60251,69151,157186.7,84840,82849,23400,1397456950,0,5064161930,1358379000,2228446889,"59,449"
